Date,Open,High,Low,Close,Volume
2017-05-24,2383.68,2391.14,2361.22,2371.21,1549523
2017-05-25,2347.1,2367.88,2342.11,2361.22,1566242
2017-05-26,2370.38,2370.38,2330.46,2337.11,1558664
2017-05-29,2347.1,2354.56,2322.16,2322.96,1738959
2017-05-30,2318.81,2318.81,2286.39,2309.67,1804631
2017-05-31,2303.85,2317.17,2297.21,2312.18,1881726
2017-06-01,2314.66,2335.45,2313.84,2328.79,2283934
2017-06-02,2354.56,2460.17,2352.09,2451.02,5127272
2017-06-05,2438.55,2457.67,2431.91,2443.54,2521961
2017-06-06,2432.73,2459.32,2417.76,2419.42,1976627
2017-06-07,2452.69,2510.87,2452.69,2458.5,3096763
2017-06-08,2494.25,2510.87,2451.02,2451.02,1911678
2017-06-09,2451.02,2476.77,2441.87,2473.47,2754693
2017-06-12,2457.67,2464.31,2437.72,2445.21,1683994
2017-06-13,2411.11,2431.06,2407.78,2417.76,1676896
2017-06-14,2404.45,2416.09,2386.17,2389.5,1578270
2017-06-15,2373.69,2378.69,2337.96,2347.1,2026060
2017-06-16,2364.54,2379.52,2357.05,2368.7,1685318
2017-06-19,2362.06,2397.82,2358.73,2387.83,1817019
2017-06-20,2411.11,2444.37,2405.28,2427.73,2151627
2017-06-21,2430.22,2443.54,2427.73,2435.21,1701072
2017-06-22,2447.69,2459.32,2438.55,2443.54,2043498
2017-06-23,2453.51,2488.43,2448.51,2480.12,2280325
2017-06-26,2473.47,2484.27,2468.48,2475.94,1592824
2017-06-27,2494.25,2531.66,2472.63,2478.46,2064787
2017-06-28,2478.87,2492.32,2464.59,2474.67,1802205
2017-06-29,2475.52,2477.19,2422.56,2445.25,3001019
2017-06-30,2422.56,2441.06,2408.26,2436.01,1590447
2017-07-03,2440.19,2459.55,2435.16,2441.06,1178709
2017-07-04,2462.05,2482.23,2423.4,2434.32,1616976
2017-07-05,2430.95,2466.26,2430.95,2463.74,1161458
2017-07-06,2447.78,2461.23,2408.26,2441.88,1864425
2017-07-07,2418.35,2456.18,2415.83,2446.08,1128743
2017-07-10,2476.35,2487.28,2466.26,2474.67,1534772
2017-07-11,2476.35,2504.09,2468.79,2493.16,1217728
2017-07-12,2484.76,2499.05,2467.95,2478.87,1394274
2017-07-13,2475.52,2478.87,2431.81,2437.69,1811246
2017-07-14,2447.78,2467.1,2443.57,2445.25,1738203
2017-07-18,2427.61,2441.88,2414.14,2437.69,1496703
2017-07-19,2412.48,2414.98,2371.28,2392.29,2802941
2017-07-20,2372.96,2425.08,2372.96,2414.14,1620664
2017-07-21,2392.29,2435.16,2392.29,2403.22,1488613
2017-07-24,2366.23,2368.76,2347.75,2354.47,1963999
2017-07-25,2362.03,2386.41,2347.75,2347.75,1771987
